#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
 167    -6.434167   -0.53218216E-02
 168    -6.433167   -0.54595156E-02
 169    -6.432167   -0.55993540E-02
 170    -6.431167   -0.57413220E-02
 171    -6.430167   -0.58854045E-02
 172    -6.429167   -0.60315859E-02
 173    -6.428167   -0.61798502E-02
 174    -6.427167   -0.63301810E-02
 175    -6.426167   -0.64825623E-02
 176    -6.425167   -0.66369775E-02
 177    -6.424167   -0.67934109E-02
 178    -6.423167   -0.69518465E-02
 179    -6.422167   -0.71122692E-02
 180    -6.421167   -0.72746642E-02
 181    -6.420167   -0.74390177E-02
 182    -6.419167   -0.76053167E-02
 183    -6.418167   -0.77735489E-02
 184    -6.417167   -0.79437035E-02
 185    -6.416167   -0.81157706E-02
 186    -6.415167   -0.82897418E-02
 187    -6.414167   -0.84656099E-02
 188    -6.413167   -0.86433696E-02
 189    -6.412167   -0.88230167E-02
 190    -6.411167   -0.90045489E-02
 191    -6.410167   -0.91879655E-02
 192    -6.409167   -0.93732676E-02
 193    -6.408167   -0.95604582E-02
 194    -6.407167   -0.97495419E-02
 195    -6.406167   -0.99405253E-02
 196    -6.405167   -0.10133417E-01
 197    -6.404167   -0.10328226E-01
 198    -6.403167   -0.10524966E-01
 199    -6.402167   -0.10723649E-01
 200    -6.401167   -0.10924292E-01
 201    -6.400167   -0.11126911E-01
 202    -6.399167   -0.11331526E-01
 203    -6.398167   -0.11538156E-01
 204    -6.397167   -0.11746823E-01
 205    -6.396167   -0.11957551E-01
 206    -6.395167   -0.12170363E-01
 207    -6.394167   -0.12385285E-01
 208    -6.393167   -0.12602344E-01
 209    -6.392167   -0.12821567E-01
 210    -6.391167   -0.13042981E-01
 211    -6.390167   -0.13266616E-01
 212    -6.389167   -0.13492500E-01
 213    -6.388167   -0.13720663E-01
 214    -6.387167   -0.13951133E-01
 215    -6.386167   -0.14183941E-01
 216    -6.385167   -0.14419115E-01
 217    -6.384167   -0.14656683E-01
 218    -6.383167   -0.14896673E-01
 219    -6.382167   -0.15139112E-01
 220    -6.381167   -0.15384027E-01
 221    -6.380167   -0.15631441E-01
 222    -6.379167   -0.15881379E-01
 223    -6.378167   -0.16133861E-01
 224    -6.377167   -0.16388908E-01
 225    -6.376167   -0.16646537E-01
 226    -6.375167   -0.16906764E-01
 227    -6.374167   -0.17169603E-01
 228    -6.373167   -0.17435064E-01
