#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
 167    -3.316212   -0.17402297E+02
 168    -3.315212   -0.17362626E+02
 169    -3.314212   -0.17128447E+02
 170    -3.313212   -0.17076392E+02
 171    -3.312212   -0.17481091E+02
 172    -3.311212   -0.16970321E+02
 173    -3.310212   -0.16755371E+02
 174    -3.309212   -0.16600400E+02
 175    -3.308212   -0.16529936E+02
 176    -3.307212   -0.16147712E+02
 177    -3.306212   -0.15952821E+02
 178    -3.305212   -0.15653121E+02
 179    -3.304212   -0.15626156E+02
 180    -3.303212   -0.15454741E+02
 181    -3.302212   -0.15290422E+02
 182    -3.301212   -0.15241686E+02
 183    -3.300212   -0.14841809E+02
 184    -3.299212   -0.14611804E+02
 185    -3.298212   -0.14546148E+02
 186    -3.297212   -0.14379052E+02
 187    -3.296212   -0.14067366E+02
 188    -3.295212   -0.13943181E+02
 189    -3.294212   -0.13983460E+02
 190    -3.293212   -0.13720279E+02
 191    -3.292212   -0.13504952E+02
 192    -3.291212   -0.13370583E+02
 193    -3.290212   -0.13355246E+02
 194    -3.289212   -0.12985117E+02
 195    -3.288212   -0.12901759E+02
 196    -3.287212   -0.12676254E+02
 197    -3.286212   -0.12582297E+02
 198    -3.285212   -0.12415236E+02
 199    -3.284212   -0.12300684E+02
 200    -3.283212   -0.11925018E+02
 201    -3.282212   -0.11838674E+02
 202    -3.281212   -0.28314134E+02
 203    -3.280212   -0.11767070E+02
 204    -3.279212   -0.11505282E+02
 205    -3.278212   -0.11370822E+02
 206    -3.277212   -0.11385410E+02
 207    -3.276212   -0.11292020E+02
 208    -3.275212   -0.10857637E+02
 209    -3.274212   -0.10680069E+02
 210    -3.273212   -0.10568634E+02
 211    -3.272212   -0.10457070E+02
 212    -3.271212   -0.10179312E+02
 213    -3.270212   -0.10165184E+02
 214    -3.269212   -0.10427603E+02
 215    -3.268212   -0.99192846E+01
 216    -3.267212   -0.97845772E+01
 217    -3.266212   -0.97236418E+01
 218    -3.265212   -0.95226084E+01
 219    -3.264212   -0.93026074E+01
 220    -3.263212   -0.92192777E+01
 221    -3.262212   -0.91738680E+01
 222    -3.261212   -0.88182059E+01
 223    -3.260212   -0.87305662E+01
 224    -3.259212   -0.86738212E+01
 225    -3.258212   -0.85789721E+01
 226    -3.257212   -0.84556226E+01
 227    -3.256212   -0.82797439E+01
 228    -3.255212   -0.81554514E+01
 229    -3.254212   -0.79956392E+01
 230    -3.253212   -0.77503024E+01
 231    -3.252212   -0.76185499E+01
 232    -3.251212   -0.87413570E+01
 233    -3.250212   -0.72618793E+01
 234    -3.249212   -0.71113957E+01
 235    -3.248212   -0.71349169E+01
 236    -3.247212   -0.67293539E+01
 237    -3.246212   -0.65933656E+01
 238    -3.245212   -0.65594990E+01
 239    -3.244212   -0.64189725E+01
 240    -3.243212   -0.62055123E+01
 241    -3.242212   -0.60821268E+01
 242    -3.241212   -0.60411983E+01
 243    -3.240212   -0.58004597E+01
 244    -3.239212   -0.57580874E+01
 245    -3.238212   -0.55533565E+01
 246    -3.237212   -0.54183768E+01
 247    -3.236212   -0.51539263E+01
 248    -3.235212   -0.50278635E+01
 249    -3.234212   -0.48683483E+01
 250    -3.233212   -0.46397678E+01
 251    -3.232212   -0.44200147E+01
 252    -3.231212   -0.42350185E+01
 253    -3.230212   -0.45974276E+01
 254    -3.229212   -0.39308159E+01
 255    -3.228212   -0.38154344E+01
 256    -3.227212   -0.37272354E+01
 257    -3.226212   -0.34716011E+01
 258    -3.225212   -0.32753456E+01
 259    -3.224212   -0.32532789E+01
 260    -3.223212   -0.31342784E+01
 261    -3.222212   -0.29460669E+01
 262    -3.221212   -0.27841977E+01
 263    -3.220212   -0.26266812E+01
 264    -3.219212   -0.23448351E+01
 265    -3.218212   -0.21247094E+01
 266    -3.217212   -0.19445718E+01
 267    -3.216212   -0.17541873E+01
 268    -3.215212   -0.14685573E+01
 269    -3.214212   -0.13320097E+01
 270    -3.213212   -0.11239551E+01
 271    -3.212212   -0.21078640E+01
 272    -3.211212   -0.82365759E+00
 273    -3.210212   -0.67353925E+00
 274    -3.209212   -0.43821478E+00
 275    -3.208212   -0.29429939E+00
 276    -3.207212   -0.12963429E+00
 277    -3.206212    0.77372791E-01
 278    -3.205212    0.14792666E+00
 279    -3.204212    0.34413848E+00
 280    -3.203212    0.55232050E+00
 281    -3.202212    0.72995115E+00
 282    -3.201212    0.10140523E+01
 283    -3.200212    0.13124472E+01
 284    -3.199212    0.14812053E+01
 285    -3.198212    0.17148508E+01
 286    -3.197212    0.19687983E+01
 287    -3.196212    0.22854993E+01
 288    -3.195212    0.24927852E+01
 289    -3.194212    0.27869909E+01
 290    -3.193212    0.29277845E+01
 291    -3.192212    0.32264599E+01
 292    -3.191212    0.35461514E+01
 293    -3.190212    0.36221011E+01
 294    -3.189212    0.37708429E+01
 295    -3.188212    0.41909161E+01
 296    -3.187212    0.41220114E+01
 297    -3.186212    0.44408741E+01
 298    -3.185212    0.45814819E+01
 299    -3.184212    0.48754809E+01
 300    -3.183212    0.52326370E+01
 301    -3.182212    0.54491498E+01
 302    -3.181212    0.56949514E+01
